type	category	data1	data2	data3	description	@icon
angle	Research	Transport	Health	Health	Research about the impact of Brump Cable Car use on Sheridan's asthma sufferers.	Tool_Recipes_rgb-56.eps
angle	Research	Product	Product	Geography	A study of the impact of Schumpeter Shopping Mall on Sheridan's local growers and retailers.	Tool_Recipes_rgb-57.eps
angle	Device	Product	Weather	Weather	A display that indicates when bad weather will affect the price of asparagus products in Sheridan's shops.	Tool_Recipes_rgb-59.eps
angle	Website	Weather	Product	Democracy	A website to explore spending and performance of Sheridan flood defences against extreme weather.	Tool_Recipes_rgb-55.eps
angle	Mobile app	Health	Product	Weather	An application that alerts people to stock up on masks when there's high levels of pollution around Peter's Pond.	Tool_Recipes_rgb-58.eps
angle	Mobile app	Product	Geography	Transport	A journey planner that helps you pick up asparagus-related items on your way home based on where they are cheapest.	Tool_Recipes_rgb-52.eps
angle	Service	Democracy	Democracy	Health	A service that alerts residents when budgets for health services get cut.	Tool_Recipes_rgb-62.eps
angle	Research	Product	Health	Democracy	An analysis of gym membership use among Brump staff.	Tool_Recipes_rgb-54.eps
angle	Website	Transport	Weather	Transport	A website that displays likely transport delays based on the weather forecast.	Tool_Recipes_rgb-51.eps
angle	Website	Health	Democracy	Health	A website showing how Sheridan General Hospital and local nursing homes are funded.	Tool_Recipes_rgb-60.eps
angle	Device	Weather	Health	Democracy	A t-shirt displaying Brump government spending on combatting Sheridan air pollution.	Tool_Recipes_rgb-61.eps
angle	Website	Geography	Geography	Transport	An online Sheridan to Colville route planner.	Tool_Recipes_rgb-53.eps
cluster	Service	Health	Product	Product	A service that delivers customised shopping for Sheridan's elderly, based on their health conditions.	Tool_Recipes_rgb-45.eps
cluster	Device	Health	Health	Product	A smart mask for monitoring air pollution from developments around Peter's Pond.	Tool_Recipes_rgb-46.eps
cluster	Service	Geography	Democracy	Product	A service that alerts Sheridan residents when land development applications have been made in their area.	Tool_Recipes_rgb-48.eps
cluster	Research	Democracy	Geography	Geography	A study on the location and value of Mayor Brump's property investments around Sheridan.	Tool_Recipes_rgb-50.eps
cluster	Device	Democracy	Democracy	Transport	A motion sensor that tells Mayor Brump how many people are riding Brump Cable Car at any time.	democ_democ_trans.eps
cluster	Mobile app	Product	Transport	Health	An app that you can use while buying cars to see fatalities & injuries for each make & model.	Tool_Recipes_rgb-40.eps
cluster	Service	Weather	Transport	Weather	A service providing transport options for Hedgefest attendees in the event of bad weather.	Tool_Recipes_rgb-43.eps
cluster	Website	Democracy	Transport	Transport	A website that shows Sheridan spending on the Brump Cable Car, bus network and train services.	Tool_Recipes_rgb-41.eps
cluster	Mobile app	Health	Geography	Transport	An emergency app showing the quickest route to neighbouring Colville's A&E.	Tool_Recipes_rgb-42.eps
cluster	Device	Health	Weather	Health	A device for people with asthma that vibrates whenever pollen counts from Wells Woods are high.	Tool_Recipes_rgb-49.eps
cluster	Device	Geography	Transport	Weather	A light that turns on when flooding is expected that might affect your Sheridan transport options.	Tool_Recipes_rgb-44.eps
cluster	Mobile app	Health	Geography	Product	An app that helps you find the nearest open pharmacist.	Tool_Recipes_rgb-47.eps
pair	Website	Weather	Product		A shopping site showing predicted asparagus product availability in Sheridan based on local weather.	Tool_Recipes_rgb-29.eps
pair	Mobile app	Geography	Democracy		An app showing where Sheridan's mobile voting caravan is currently stationed.	Tool_Recipes_rgb-36.eps
pair	Device	Transport	Geography		A GPS tracker telling you how far you are from the Brump Cable Car at any time.	Tool_Recipes_rgb-27.eps
pair	Service	Transport	Health		A service that prioritises Sheridan's ambulances based on whether the patient is over 65.	Tool_Recipes_rgb-22.eps
pair	Website	Product	Product		A website allowing you to compare the cost of asparagus between Dodds Cooperative and Schumpeter Shopping Mall.	Tool_Recipes_rgb-24.eps
pair	Website	Transport	Transport		A website enabling you to get Sheridan bus and Brump Cable Car timetables.	Tool_Recipes_rgb-20.eps
pair	Device	Weather	Geography		A rock-salt bin that unlocks whenever snowfall is predicted in its vicinity.	Tool_Recipes_rgb-39.eps
pair	Service	Product	Transport		A service that provides Sheridan asparagus snack boxes to bus and Brump Cable Car commuters.	Tool_Recipes_rgb-21.eps
pair	Website	Health	Health		A website about the effects of contaminated bathing water and recommended treatments.	Tool_Recipes_rgb-34.eps
pair	Mobile app	Weather	Weather		An app that tells you how to identify cloud formations.	Tool_Recipes_rgb-37.eps
pair	Website	Transport	Weather		A website showing weather-related Brump Cable Car delays.	Tool_Recipes_rgb-23.eps
pair	Mobile app	Product	Democracy		A Twitter account that tweets Mayor Brump's expense claims.	Tool_Recipes_rgb-25.eps
